2025-04-05 01:11:31 | Temperatura: 24°C | Humedad: 53% | CO2: 1126.0 ppm | Sonido: 28.2 dB | Luz: 4.4 Lux
2025-04-05 01:15:44 | Temperatura: 25°C | Humedad: 54% | CO2: 1145.9 ppm | Sonido: 36.2 dB | Luz: 53.5 Lux
2025-04-05 01:15:48 | Temperatura: 25°C | Humedad: 54% | CO2: 1146.2 ppm | Sonido: 46.1 dB | Luz: 27.8 Lux
2025-04-05 01:15:52 | Temperatura: 25°C | Humedad: 54% | CO2: 1150.0 ppm | Sonido: 46.3 dB | Luz: 24.5 Lux
2025-04-05 01:15:56 | Temperatura: 25°C | Humedad: 53% | CO2: 1144.4 ppm | Sonido: 40.7 dB | Luz: 24.3 Lux
2025-04-05 01:20:33 | Temperatura: 25°C | Humedad: 53% | CO2: 1143.9 ppm | Sonido: 39.6 dB | Luz: 4.4 Lux
2025-04-05 01:20:37 | Temperatura: 26°C | Humedad: 51% | CO2: 1140.5 ppm | Sonido: 43.5 dB | Luz: 19.8 Lux
2025-04-05 01:20:41 | Temperatura: 26°C | Humedad: 51% | CO2: 1145.1 ppm | Sonido: 43.5 dB | Luz: 19.1 Lux
2025-04-05 01:20:45 | Temperatura: 26°C | Humedad: 51% | CO2: 1141.2 ppm | Sonido: 44.0 dB | Luz: 19.5 Lux
2025-04-05 01:20:49 | Temperatura: 26°C | Humedad: 51% | CO2: 1143.5 ppm | Sonido: 45.4 dB | Luz: 18.3 Lux
2025-04-05 01:20:53 | Temperatura: 26°C | Humedad: 51% | CO2: 1134.3 ppm | Sonido: 38.3 dB | Luz: 44.9 Lux
2025-04-05 01:20:56 | Temperatura: 26°C | Humedad: 51% | CO2: 1146.9 ppm | Sonido: 37.2 dB | Luz: 41.5 Lux
2025-04-05 01:21:00 | Temperatura: 26°C | Humedad: 51% | CO2: 1145.6 ppm | Sonido: 34.8 dB | Luz: 31.9 Lux
2025-04-05 01:21:04 | Temperatura: 26°C | Humedad: 51% | CO2: 1138.2 ppm | Sonido: 42.9 dB | Luz: 0.1 Lux
2025-04-05 01:21:08 | Temperatura: 26°C | Humedad: 51% | CO2: 1139.1 ppm | Sonido: 28.2 dB | Luz: 17.3 Lux
2025-04-05 01:21:12 | Temperatura: 26°C | Humedad: 51% | CO2: 1145.3 ppm | Sonido: 40.7 dB | Luz: 0.8 Lux
2025-04-05 01:21:16 | Temperatura: 26°C | Humedad: 51% | CO2: 1144.6 ppm | Sonido: 40.8 dB | Luz: 0.1 Lux
2025-04-05 01:21:20 | Temperatura: 26°C | Humedad: 51% | CO2: 1139.8 ppm | Sonido: 40.7 dB | Luz: 0.0 Lux
2025-04-05 01:21:24 | Temperatura: 26°C | Humedad: 51% | CO2: 1138.0 ppm | Sonido: 40.6 dB | Luz: 0.4 Lux
2025-04-05 01:21:28 | Temperatura: 26°C | Humedad: 51% | CO2: 1136.8 ppm | Sonido: 33.2 dB | Luz: 29.5 Lux
2025-04-05 01:21:32 | Temperatura: 26°C | Humedad: 51% | CO2: 1145.4 ppm | Sonido: 26.5 dB | Luz: 22.2 Lux
2025-04-05 01:21:36 | Temperatura: 26°C | Humedad: 51% | CO2: 1145.6 ppm | Sonido: 34.2 dB | Luz: 34.7 Lux
2025-04-05 01:31:07 | Temperatura: 26°C | Humedad: 51% | CO2: 1135.3 ppm | Sonido: 19.8 dB | Luz: 15.5 Lux
2025-04-05 01:31:11 | Temperatura: 26°C | Humedad: 49% | CO2: 1140.7 ppm | Sonido: 23.8 dB | Luz: 12.5 Lux
